usecase,description,default_syntax,category_rule,subcategory_rule,correlation_rule
Cloud Modificaciones anómalas en Plataforma,"This rule will detect if an EC2 instance will be created with large specifications, for example, if an instance will be created with 384 GB of RAMs this rule will trigger, if the AWS account will be compromised, then an attacker may create an instance with large specifications for mining purposes.","Apply AWS Cloud: An EC2 Instance Has Been Created with Large Specifications on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event QID is one of the following (88750037) Run Instances, (88750159) Create Instance
and when the event matches ""Instance Size Type"" in ('m5.4xlarge','m5.12xlarge','m5.24xlarge','m4.4xlarge','m4.10xlarge','m4.16xlarge','c5d.4xlarge','c5d.9xlarge','c5d.18xlarge') AQL filter query",Cumplimiento,Amazon AWS,AWS Cloud: An EC2 Instance Has Been Created with Large Specifications
Cloud Modificaciones anómalas en Plataforma,Alerts when instances are created/launched in non-standard VPCs or EC2 classic without VPCs,"Apply AWS Cloud: An EC2 Instance Has Been Created In A Non-Standard VPC or without VPC on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event QID is one of the following (88750037) Run Instances
and NOT when any of VPC ID (custom) are contained in any of AWS - VPC IDs - AlphaNumeric",Cumplimiento,Amazon AWS,AWS Cloud: An EC2 Instance Has Been Created In A Non-Standard VPC or without VPC on events which are detected by the Local system
Cloud Modificaciones anómalas en Plataforma,AWS Cloud: An EC2 Instance Has Been Created From A Non-Standard Amazon Machine Image (AMI),"Apply AWS Cloud: An EC2 Instance Has Been Created From A Non-Standard Amazon Machine Image (AMI) on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event QID is one of the following (88750037) Run Instances, (88750159) Create Instance
and NOT when any of Image ID (custom) are contained in any of AWS - Instance Image IDs - AlphaNumeric",Cumplimiento,Amazon AWS,AWS Cloud: An EC2 Instance Has Been Created From A Non-Standard Amazon Machine Image (AMI) on events which are detected by the Local system
Cloud Modificaciones anómalas en Plataforma,Alerts when a Signing Certificate has been removed,"Apply AWS Cloud: A Signing Certificate Has Been Removed on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event matches EventName (custom) is any of DeleteCertificate",Integridad de Datos,Amazon AWS,AWS Cloud: A Signing Certificate Has Been Removed
Cloud Network Changes,Alerts when a new subnet has been associated or deleted from an existing route table,"Apply AWS Cloud: Routing Table Changes on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event QID is one of the following (88750070) Associate Route Table, (88750296) Delete Route, (88750190) Create Route",,Amazon AWS,AWS Cloud: Routing Table Changes
Cloud Network Changes,"Alerts on additions, deletions, and changes to Network Gateway configurations in EC2 instances","Apply AWS Cloud: Network Gateway Changes on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event QID is one of the following (88750075) Attach Internet Gateway, (88750141) Create Customer Gateway, (88750163) Create Internet Gateway, (88750246) Delete Customer Gateway, (88750269) Delete Internet Gateway, (88750484) Detach Internet Gateway",,Amazon AWS,AWS Cloud: Network Gateway Changes
Cloud Network Changes,"Alerts on additions, deletions, and changes to NACLs","Apply AWS Cloud: Network ACL Changes on events which are detected by the Local system
and when the event(s) were detected by one or more of Amazon AWS CloudTrail
and when the event QID is one of the following (88750174) Create Network Acl, (88750175) Create Network Acl Entry, (88750279) Delete Network Acl, (88750716) Replace Network Acl Association, (88750717) Replace Network Acl Entry, (88750280) Delete Network Acl Entry",,Amazon AWS,AWS Cloud: Network ACL Changes
Cambios Transacciones (SAP),EJECUCIÓN DE ACTUALIZACIÓN MASIVA DE USUARIOS,,Negocio,SAP,SAP: Transaction SU10 Started
Cambios Transacciones (SAP),EJECUCIÓN DE MANTENIMIENTO DE USUARIOS EN EL SISTEMA,,Negocio,SAP,SAP: Transaction SU01 Started
Cambios Transacciones (SAP),EJECUCIÓN DE TRANSPORTES AL AMBIENTE DE PRODUCCIÓN,,Negocio,SAP,SAP: Transaction STMS Started
Cambios Transacciones (SAP),EJECUCIÓN DE ACTUALIZACIÓN DIRECTA DE TABLAS,,Negocio,SAP,SAP: Transaction SM31 Started
Cambios Transacciones (SAP),EJECUCIÓN DE ACTUALIZACIÓN DIRECTA DE TABLAS,,Negocio,SAP,SAP: Transaction SM30 Started
Cambios Transacciones (SAP),EJECUCIÓN DE APERTURA DE MANDANTE,,Negocio,SAP,SAP: Transaction SE06 Started
Cambios Transacciones (SAP),LA EJECUCIÓN DE APERTURA DE MANDANTE,,Negocio,SAP,SAP: Transaction SCC4 Started
Cambios Transacciones (SAP),EJECUCIÓN DEL GENERADOR DE PERFILES,,Negocio,SAP,SAP: Transaction PFCG Started
Eventos o Acciones realizadas a nivel Malware,This rule will notify when an internal host appears to be using an anonymous proxy or vpn. This generally indicates a policy violation but may also signal insider threat activity. See https://ibm.biz/rfisi_threat_intel,"Apply RFISI: Internal Hosts Communicating with Anonymizer Host on events or flows which are detected by the Local system
and when the context is Local to Remote
and when any of Destination IP are contained in any of Anonymizer IPs - IP",Robo de Informacion,Threats,RFISI: Internal Hosts Communicating with Anonymizer Host 
Eventos o Acciones realizadas a nivel Malware,This rule will notify when an internal system communicates with an IP that is considered to be hosting malware. See https://ibm.biz/rfisi_threat_intel,"Apply RFISI: Internal Connection to Address Hosting Malware on events or flows which are detected by the Local system
and when the context is Local to Remote
and when any of Destination IP are contained in any of Malware IPs - IP",Robo de Informacion,Threats,RFISI: Internal Connection to Address Hosting Malware
Eventos o Acciones realizadas a nivel Malware,This rule will notify when an internal client loads a URL that is known to host malware. This can often be more accurate than Malware host detection by IP. See https://ibm.biz/rfisi_threat_intel,"Apply RFISI: Internal Communication with a Malware URL on events which are detected by the Local system
and when the event context is Local to Remote
and when any of URL (custom) are contained in any of Malware URLs - AlphaNumeric (Ignore Case)",,Threats,RFISI: Internal Communication with a Malware URL
Possible DNS connection or Unauthorized DNS server,Reports a host connecting or attempting to connect to a DNS server on the Internet. This may indicate a host connecting to a Botnet. The host should be investigated for malicious code.,"Apply Botnet: Potential Botnet Connection (DNS) on events or flows which are detected by the Local system
and NOT when a flow or an event matches any of the following BB:HostDefinition: DNS Servers
and when the destination port is one of the following 53
and when the context is Local to Remote
and when a flow or an event matches any of the following BB:CategoryDefinition: Firewall or ACL Accept, BB:CategoryDefinition: Firewall or ACL Denies, BB:CategoryDefinition: Any Flow, BB:DeviceDefinition: FW / Router / Switch",Robo de Informacion,Botnet / Threats,Botnet: Potential Botnet Connection (DNS)
Exfiltración de Datos,Reports a local host running a service on a typical IRC port or a flow that was detected as IRC. This is not typical for enterprises and should be investigated.,"Apply Possible Local IRC Server on events or flows which are detected by the Local system
and when the context is Remote to Local
and when a flow or an event matches any of the following BB:CategoryDefinition: IRC Detected Based on Application, BB:CategoryDefinition: IRC Detected Based on Event Category, BB:CategoryDefinition: IRC Detection Based on Firewall Events
and when the IP protocol is one of the following TCP",Robo de Informacion,Threats, Possible Local IRC Server
Eventos o Acciones realizadas a nivel Malware,,"Apply Web Attack: Malicious Payload Download on events which are detected by the Local system
and when the event QID is one of the following (42008564) Web Attack: Malicious Payload Download 11, (42007612) Web Attack: Malicious Payload Download 13, (42008531) Web Attack: Malicious Payload Download 17, (42008611) Web Attack: Malicious Payload Download 18, (42006505) Web Attack: Malicious Payload Download 8, (42008215) Web Attack: Malicious Java Payload Download, (42007030) System Infected: Malicious Payload Download 10
and when at least 2 events are seen with the same Username in 5 minutes",,Malware,Web Attack: Malicious Payload Download
Eventos o Acciones realizadas a nivel Malware,Reports malicious software (malware) attacks on events. Enable this rule if you wish all events categorized as malware to create an offense.,"Apply Treat Non-Spyware Malware as Offenses on events which are detected by the Local system
and when the event category for the event is one of the following Malware.Hostile Mail Attachment, Malware.Hostile Software Download, Malware.Malicious Software, Malware.Misc Malware, Malware.Unknown Malware",,Malware,Treat Non-Spyware Malware as Offenses
Eventos o Acciones realizadas a nivel Malware,Enable this rule if you wish all events categorized as key loggers to create offenses.,"Apply Treat Key Loggers as Offenses on events which are detected by the Local system
and when an event matches any of the following BB:CategoryDefinition: Key Loggers",Cumplimiento,Malware,Treat Key Loggers as Offenses
Eventos o Acciones realizadas a nivel Malware,"Enable this rule if you wish all events categorized as backdoors, viruses and trojans to create an offenses.","Apply Treat Backdoor Trojans and Virus Events as Offenses on events which are detected by the Local system
and when the event category for the event is one of the following Malware.Backdoor Detected, Malware.Trojan Detected, Malware.Virus Detected",Hacktivismo,Malware,Treat Backdoor Trojans and Virus Events as Offenses
Eventos o Acciones realizadas a nivel Malware,System detected a virus and failed to clean or remote it,"Apply Malware or Virus Clean Failed on events which are detected by the Local system
and when the event QID is one of the following (23750019) Suspicious, (23750004) Bad, (23750024) bad, (23750002) Action failed, (23750022) action failed, (23750032) left alone, (23750013) Left alone, (23750033) partially repaired, (23750014) Partially repaired, (23750034) pending repair, (23750015) Pending repair, (25250261) Boot record infection clean error, (25250119) Buffer Overflow detected and NOT blocked, (25250250) Centralized Alerting - Infected file found, (25250252) Centralized Alerting - Unable to clean infected file, (25250254) Centralized Alerting - Unable to delete infected file, (25250258) Centralized Alerting - Unable to move infected file to quarantine, (25250374) Error launching a program upon virus infection, (25250096) Error while cleaning boot sector virus, (25250121) Failed Quarantine check, (25250158) file infected. Clean error, Encrypted file, delete failed, (25250150) file infected. Clean error, Encrypted file, quarantine failed, (25250156) file infected. Clean error, heuristic detection, delete failed, (25250165) file infected. Delete failed, quarantine failed, (25250164) file infected. Delete failed, quarantined, (25250155) file infected. No cleaner available, delete failed, (25250148) file infected. No cleaner available, heuristic detection, quarantine failed, (25250159) file infected. No cleaner available, OAS denied access and continued, (25250147) file infected. No cleaner available, quarantine failed, (25250163) file infected. Quarantine failed, delete failed, (25250157) file infected. Undetermined clean error, delete failed, (25250149) file infected. Undetermined clean error, quarantine failed, (25250264) New File Virus Found But Move Failed, (25250266) New File Virus Found But Move Failed, (25250296) Unwanted program, clean error, delete failed, (25250288) Unwanted program, clean error, quarantine failed, (25250311) Unwanted program, delete failed, continued, (25250312) Unwanted program, delete failed, denied access, (25250310) Unwanted program, delete failed, quarantine failed, (25250309) Unwanted program, delete failed, quarantined, (25250297) Unwanted program, encrypted, delete failed, (25250289) Unwanted program, encrypted, quarantine failed, (25250295) Unwanted program, heuristics, delete failed, (25250287) Unwanted program, heuristics, quarantine failed, (25250294) Unwanted program, no cleaner, delete failed, (25250307) Unwanted program, quarantine failed, continued, (25250306) Unwanted program, quarantine failed, delete failed, (25250305) Unwanted program, quarantine failed, deleted, (25250308) Unwanted program, quarantine failed, denied access, (25250317) User-specified unwanted program, clean error, delete failed, (25250315) User-specified unwanted program, clean error, quarantine failed, (25250326) User-specified unwanted program, delete failed, continued, (25250324) User-specified unwanted program, delete failed, quarantine failed, (25250325) User-specified unwanted program, delete failed, quarantined, (25250322) User-specified unwanted program, quarantine failed, continued, (25250320) User-specified unwanted program, quarantine failed, delete failed, (25250321) User-specified unwanted program, quarantine failed, deleted, (42002845) Virus Detected, Actual action: Left alone, (42002836) Security risk found, Actual action: Left alone, (42002833) Security risk found, Actual action: All actions failed, (42003869) Virus Detected, Actual action: Actions failed",Robo de Informacion,Malware,Malware or Virus Clean Failed
Eventos o Acciones realizadas a nivel Malware,"Se identifica el uso de la herramienta de hacking mimikatz, puede tratarse de un posible evento de intento de robo de credenciales. Verificar equipo que reporta el evento.","Apply AV: Warning: Security Risk Found: Mimikatz on events which are detected by the Local system
and when the event(s) were detected by one or more of Endpointprotection @ SAZRAV01
and when the event matches VirusName (custom) is any of Hacktool.Mimikatz",Malware,Malware,AV: Warning: Security Risk Found: Mimikatz
Eventos o Acciones realizadas a nivel Malware,"Evento de riesgo identificado. Validar la acción ejecutada por la herramienta de endpoint, y el nombre de virus identificado.","Apply AV: Warning: Security Risk Found on events which are detected by the Local system
and when the event(s) were detected by one or more of Endpointprotection @ SAZRAV01
and when the event QID is one of the following (42000025) Security risk found, (42002833) Security risk found, Actual action: All actions failed, (42004067) Security risk found, Actual action: Access Denied, (42002834) Security risk found, Actual action: Deleted, (42002835) Security risk found, Actual action: Details pending, (42002836) Security risk found, Actual action: Left alone, (42002837) Security risk found, Actual action: Process terminate pending restart, (42002839) Security risk found, Actual action: Suspicious, (42002895) security_risk_found-partially_repaired, (42002896) security_risk_found-unknown_action",Malware,Malware, AV: Warning: Security Risk Found
Exfiltración de Datos,"Detect access from  unusual, restricted or prohibited locations followed by data exfiltration attempt.",,,User Behavior Analytics,UBA : Suspicious Access Followed by Data Exfiltration
Exfiltración de Datos,Detects any user communicating over unauthorized protocols which are regarded as insecure or non-standard protocols. BB:UBA : Insecure Ports excludes all UBA allowed ports and custom authorized protocols listed in the UBA : Ports of Authorized Protocols reference set. Edit the UBA : Ports of Authorized Protocols reference set with any other ports allowed in your environment before enabling this rule.,"Apply UBA : Detect Insecure Or Non-Standard Protocol on events which are detected by the Local system
and when an event matches all of the following BB:UBA : Common Event Filters
and when the event matches Username is not any of [anonymous or unknown]
and NOT when any of Destination Port match N/A
and when an event matches any of the following BB:UBA : Insecure Ports",,User Behavior Analytics,UBA : Detect Insecure Or Non-Standard Protocol
Exfiltración de Datos,"Detects possible data loss determined by either the data source, event category or specific events related to data loss detection and prevention.","Apply UBA : Data Loss Possible on events which are detected by the Local system
and when an event matches any of the following BB:UBA : Data Loss Categories, BB:UBA : Data Loss Devices, BB:UBA : Data Loss Events",,User Behavior Analytics,UBA : Data Loss Possible
Exfiltración de Datos,Detects users that are transferring files to removable media such as USB and CD.,"Apply UBA : Data Exfiltration by Removable Media on events which are detected by the Local system
and when an event matches all of the following BB:UBA : Common Event Filters
and when an event matches any of the following BB:UBA : File Transfer to CD, BB:UBA : File Transfer to USB",Ataque Avanzado / Persistente,User Behavior Analytics,UBA : Data Exfiltration by Removable Media
Exfiltración de Datos,Detects users that are sending files to print or that are using screen capture tools such as Print Screen and Snipping Tool.,"Apply UBA : Data Exfiltration by Print on events which are detected by the Local system
and when an event matches all of the following BB:UBA : Common Event Filters, BB:UBA : File Transfer to Print",Ataque Avanzado / Persistente,User Behavior Analytics,UBA : Data Exfiltration by Print
Exfiltración de Datos,Detects users that are uploading files to personal cloud services.,"Apply UBA : Data Exfiltration by Cloud Services on events which are detected by the Local system
and when an event matches all of the following BB:UBA : Common Event Filters, BB:UBA : File Transfer to Cloud services",Ataque Avanzado / Persistente,User Behavior Analytics,UBA : Data Exfiltration by Cloud Services
Exfiltración de Datos,"Detects a local FTP server on a non-standard port. The default port for FTP is TCP port 21. Detecting FTP on other ports may indicate an exploited host, where the attacker has installed this server to provide backdoor access to the host.","Apply Local: Hidden FTP Server on flows which are detected by the Local system
and when the flow context is Local to Local
and when the flow matches Application is DataTransfer.FTP
and NOT when the destination port is one of the following 21, 20
and when a flow matches all of the following BB:CategoryDefinition: Successful Communication",Cumplimiento,Threats,Local: Hidden FTP Server
Exfiltración de Datos,Detects a single host that is sending more data out of the network than received.  This rule detects over 2 MB of data transferred over a 2 hour period.  This is fairly slow and could indicated stealthy data leakage.,,,Compliance / Exfiltration,Large Outbound Transfer Slow Rate of Transfer
Exfiltración de Datos,Detects a single host that is sending more data out of the network than received.  This rule detects over 2 MB of data transferred over a 12 minute period.  ,,,Compliance / Exfiltration,Large Outbound Transfer High Rate of Transfer
Gestion de Accesos (SAP),Asignación del perfil SUPER a usuarios no autorizados.,,Negocio,SAP,SAP: Assignment of the SUPER profile to unauthorized users
Gestion de Accesos (SAP),Asignación del perfil SAP_ALL a usuarios no autorizados.,"Apply SAP: Assignment of the SAP_ALL profile to unauthorized users on events which are detected by the Local system
and when the event(s) were detected by one or more of SAP_ECC_USR04_Calidad, SAP_ECC_USR04_Desarrollo, SAP_ECC_USR04_Produccion
and NOT when any of Username match BATCH_USER|CUA_ERP_300|DDIC|SAP*|SAPSUPPORT|SAPSUPPORT1|SAP_WSRT|WF-BATCH
and when any of Username_Profile_SAP (custom) match SAP_ALL",Integridad de Datos,SAP,SAP: Assignment of the SAP_ALL profile to unauthorized users
Gestion de Accesos (SAP),Asignación del perfil SAP_NEW a usuarios no autorizados.,"Apply SAP: Assigment of the SAP_NEW profile to unauthorized users on events which are detected by the Local system
and when the event(s) were detected by one or more of SAP_ECC_USR04_Calidad, SAP_ECC_USR04_Desarrollo, SAP_ECC_USR04_Produccion
and NOT when any of Username match CUA_ERP_300|SAP*|WF-BATCH
and when any of Username_Profile_SAP (custom) match SAP_NEW",Robo de Informacion,SAP,SAP: Assigment of the SAP_NEW profile to unauthorized users
Gestion de Accesos (SAP),MultipleS FALLOS DE ACCESO DESPUÉS DE INTRODUCIR UNA CONTRASEÑA INCORRECTA,"Apply SAP: Account Locked on events which are detected by the Local system
and when the event(s) were detected by one or more of SAP_ECC_SM20_Producccion
and when the Event Payload contains After Erroneous Password Checks",Ataque Avanzado / Persistente,SAP,SAP: Account Locked
Gestion de Usuarios (Abuso de Privilegios),Alerts when a Network Security Group is Created or Updated,"Apply Azure Cloud: Network Security Group has been Created or Updated on events which are detected by the Local system
and when the event(s) were detected by one or more of Microsoft Azure Platform
and when the event QID is one of the following (105250339) Create or Update Network Security Group",Hacktivismo,Azure,Azure Cloud: Network Security Group has been Created or Updated
Gestion de Usuarios (Abuso de Privilegios),"This rule adds a username to the reference set User with High Privilege Role Names if the user achieved potential high privilege role.

Note: The Low Privilege Role Names reference set must be populated with the relevant role names. Anything not defined in this Reference Set is considered as suspicious in terms of privileges.","Apply User Role Changed to High Privilege Role Names on events which are detected by the Local system
and when an event matches any of the following BB:CategoryDefinition: User Role Assign Events
and NOT when any of Role Name (custom) are contained in any of Low Privilege Role Names - AlphaNumeric (Ignore Case)",,Virtualization,User Role Changed to High Privilege Role Names
Gestion de Usuarios (Abuso de Privilegios),Se detecta la adicion de un usuario al grupo de administradores del dominio,,,Authentication,User added to Domain Admins
Gestion de Usuarios (Abuso de Privilegios),Detects when an user account is created and deleted in a short period of time.,,,User Behavior Analytics,UBA : User Account Created and Deleted in a Short Period of Time
