,ID,Assigned User,Title,Time,Tags,Products,Incident,Suspicious,Important,Ports,Outcomes,Status,Environment,Priority,Stage,Ticket IDs,Closing Time,Sources,Reason,Root Cause,Alerts Count
15,2227047,securityanalyst3,Amazon AWS WAF,2022-11-02 02:01:25 UTC-05,,Default,False,False,False,0,4002,Closed,SURA ASSET MANAGEMENT PERU S.A,Informative,Triage,271793_SRA-P_WAF_Possible_Scan_1667371548192_1667371548193,2022-11-25 10:26:57 UTC-05,,Maintenance,Rule under construction,1
16,2231038,securityanalyst1,Microsoft Windows Security Event Log,2022-11-13 13:39:30 UTC-05,"Recon,Intrusion Detection,Authentication",Login,False,False,False,0,"30,053,116",Open,SURA ASSET MANAGEMENT PERU S.A,Medium,Assessment,"275440_Multiple Login Failures From the Same Source with any Username_1668416269794_1668437017145,275440_Multiple Login Failures From the Same Source with any Username_1668401682257_1668412349726,275440_Multiple Login Failures From the Same Source with any Username_1668394656894_1668397963490,275440_Multiple Login Failures From the Same Source with any Username_1668390640900_1668390651145,275440_Multiple Login Failures From the Same Source with any Username_1668387170422_1668387285499,275440_Multiple Login Failures From the Same Source with any Username_1668383670736_1668383750076,275440_Multiple Login Failures From the Same Source with any Username_1668379774404_1668379784681,275440_Multiple Login Failures From the Same Source with any Username_1668372977284_1668376374093,275440_Multiple Login Failures From the Same Source with any Username_1668369075984_1668369165126,275440_Multiple Login Failures From the Same Source with any Username_1668365142990_1668365543271,275440_Multiple Login Failures From the Same Source with any Username_1668361752830_1668361929211",,,,,11
17,2231763,securityanalyst1,Cisco Adaptive Security Appliance (ASA),2022-11-15 13:45:16 UTC-05,Recon,FW,False,False,False,"83,2000,1434,2195,554,587,120,7443,8222,4243,8880,9332,660,17,8834,153,161,8889,3128,829,9080,49211,9091,2483,389,194,9006,514,3535,5000,53,2049,10505,500,8332,8139,6771,8005,49201,5004,49182,139,4444,4500,49191,5351,9000,30718,5986,626,5900,5500,8008,9030,1022,3671,1494,31337,9999,5243,5223,33281,444,3389,143,8181,5353,10443,177,530,8767,5001,81",4003,Open,SURA ASSET MANAGEMENT PERU S.A,Low,Research,275856_Host Port Scan Detected by Remote Host_1668532210953_1668532222948,,,,,1
18,2228718,securityanalyst1,Amazon AWS WAF,2022-11-05 21:50:09 UTC-05,,Default,False,True,False,0,4002,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,273335_SRA-P_WAF_X-Force Risky IP Scan (Source IP)_1667700395669_1667700395669,,,,,1
19,2231769,securityanalyst1,Microsoft Office 365,2022-11-15 14:05:58 UTC-05,"Intrusion Detection,Authentication,Recon",Login,False,False,False,0,"31,163,115",Open,SURA ASSET MANAGEMENT PERU S.A,Medium,Research,"275734_Login Failures Followed By Success to the same Username_1668516377732_1668533280688,275734_Multiple Login Failures for Single Username_1668513018010_1668531574403",,,,,2
20,2232435,securityanalyst1,Microsoft Windows Security Event Log,2022-11-17 11:39:31 UTC-05,"Recon,Intrusion Detection,Authentication",Login,False,False,False,0,"31,163,005",Open,SURA ASSET MANAGEMENT PERU S.A,Medium,Assessment,"276402_Multiple Login Failures From the Same Source with any Username_1669042409998_1669042486982,276402_Multiple Login Failures From the Same Source with any Username_1668786832059_1668787211324,276402_Multiple Login Failures From the Same Source with any Username_1668696600292_1668698461925",,,,,3
21,2232956,securityanalyst1,Microsoft Office 365,2022-11-18 20:29:45 UTC-05,"Recon,Authentication",Login,False,False,False,0,"301,031,163,005",Open,SURA ASSET MANAGEMENT PERU S.A,Low,Research,276832_Multiple Login Failures for Single Username_1668814310959_1668814625374,,,,,1
22,2228120,securityanalyst1,Amazon AWS WAF,2022-11-04 03:30:40 UTC-05,,Default,False,True,False,0,4002,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,272742_SRA-P_WAF_X-Force Risky IP Scan (Source IP)_1667550376947_1667550376947,,,,,1
23,2230101,securityanalyst1,Amazon AWS WAF,2022-11-10 10:36:14 UTC-05,,Default,False,True,False,0,4002,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,274720_SRA-P_WAF_X-Force Risky IP Scan (Source IP)_1668084931090_1668084931090,,,,,1
24,2228870,securityanalyst1,Amazon AWS WAF,2022-11-06 17:19:56 UTC-05,,Default,False,True,False,0,4002,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,273466_SRA-P_WAF_X-Force Risky IP Scan (Source IP)_1667769793972_1667769793972,,,,,1
25,2228210,securityanalyst1,Amazon AWS WAF,2022-11-04 10:58:46 UTC-05,,Default,False,True,False,0,4002,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,272839_SRA-P_WAF_X-Force Risky IP Scan (Source IP)_1667574170166_1667574170166,,,,,1
26,2232267,securityanalyst1,Cisco Adaptive Security Appliance (ASA),2022-11-17 01:00:02 UTC-05,Recon,FW,False,False,False,"9000,10243,1723,49152,30005,3000,1299,5432,58603,9002,8015,7080,88,5150,2086,23,29656,5672,8028,6667,541,2051,8048,7547,806,8008,7170,9109,50001,2085,9992,90,4567,9091,6512,80,8021,4443,32768,7117,27015,12999,6699,30008,8888,3001,2000,89,5901,10443,50075,9080,8000,3168,8101,27017",4003,Open,SURA ASSET MANAGEMENT PERU S.A,Low,Research,276270_Host Port Scan Detected by Remote Host_1668658789985_1668658834026,,,,,1
27,2230768,securityanalyst1,Amazon AWS WAF,2022-11-12 12:59:19 UTC-05,,Default,False,True,False,0,4002,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,275269_SRA-P_WAF_X-Force Risky IP Scan (Source IP)_1668270120674_1668270120674,,,,,1
28,2231430,securityanalyst1,Microsoft Office 365,2022-11-14 17:40:40 UTC-05,,Login,False,False,False,0,3115,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,275652_SRA-P: User Login Success other countries_1668461785022_1668462356774,,,,,1
29,2230899,securityanalyst1,Cisco Adaptive Security Appliance (ASA),2022-11-13 03:58:54 UTC-05,Recon,FW,False,False,False,"1847,1750,1569,8077,1999,2888,1180,1677,14,1295,14240,2033,2017,1406,231,3435,8080,18133,6633,4434,14383,9333,1016,7788,1971,1028,2333,1278,132,479,12533,1495,90,191,1453,7878,14101,3297,1733,14388,14270,1486,1791,8089,60001,3000,221,217,1218,1489,1251,14301,14787,62433,2010,14133,1166,1446,1090",4003,Open,SURA ASSET MANAGEMENT PERU S.A,Medium,Research,275342_Host Port Scan Detected by Remote Host_1668326340158_1668326342166,,,,,1
30,2227105,securityanalyst1,Cisco Adaptive Security Appliance (ASA),2022-11-02 07:02:04 UTC-05,Recon,FW,False,True,False,"20127,3999,12068,19820,12245,20069,3386,20067,12892,9000,12345,2016,40121,20213,10492,15213,20000,8090,16292,20033,3395,21253,2277,40000,9833,20311,15046,3398,11708,2468,20073,20061,50940,7019,16531,20467,42263,6868,35009,20131,1978,33321,50040,20221,33107,13182,20207,3392,20107,8603,45696,3387,12580,20003,6688,63388,13078,20059,10392,15012,5888,11314,3625,20063,21135,5367,8877,3390,20153,6453,1288,20219,20023,12141,18155,8867,10660,20027,16812,33668,41185,21383,5004,5678,60034,8122,21169,21345,20009,60020,10532,20083,54153,20321,17040,30224,32104,20065,8889,3838",4003,Open,SURA ASSET MANAGEMENT PERU S.A,Low,Assessment,"271845_Host Port Scan Detected by Remote Host_1667387879764_1667387884799,271845_Host Port Scan Detected by Remote Host_1667387813706_1667387939762",,,,,2
31,2233562,securityanalyst1,Microsoft Windows Security Event Log,2022-11-20 14:20:08 UTC-05,"Recon,Intrusion Detection,Authentication",Login,False,False,False,0,"31,163,005",Open,SURA ASSET MANAGEMENT PERU S.A,Medium,Research,277307_Multiple Login Failures From the Same Source with any Username_1668967056904_1668967200174,,,,,1
32,2229172,securityanalyst1,Microsoft Office 365,2022-11-08 02:30:19 UTC-05,"Intrusion Detection,Authentication,Recon","Login,SAP",False,False,False,0,"311,670,023,115",Open,SURA ASSET MANAGEMENT PERU S.A,Medium,Assessment,"265910_Login Failures Followed By Success to the same Username_1668393148651_1668393148651,265910_Multiple Login Failures for Single Username_1668316653711_1668319496464,265910_Login Failures Followed By Success to the same Username_1668316858011_1668319635813,265910_Multiple Login Failures for Single Username_1668285115245_1668285549645,265910_Login Failures Followed By Success to the same Username_1668285259453_1668285259453,265910_Multiple Login Failures for Single Username_1668222378700_1668234071793,265910_Login Failures Followed By Success to the same Username_1668222591951_1668233923673,265910_Multiple Login Failures for Single Username_1668177322287_1668177660562,265910_Login Failures Followed By Success to the same Username_1668177487422_1668177487422,265910_Multiple Login Failures for Single Username_1668100500806_1668100797044,265910_Login Failures Followed By Success to the same Username_1668100557844_1668101005467,265910_Multiple Login Failures for Single Username_1668083737987_1668084074312,265910_Login Failures Followed By Success to the same Username_1668083997334_1668084337554,265910_Multiple Login Failures for Single Username_1667976167387_1667976522625,265910_Login Failures Followed By Success to the same Username_1667976446568_1667976446568,265910_Multiple Login Failures for Single Username_1667937016537_1667937181681,265910_Login Failures Followed By Success to the same Username_1667937152668_1667937152668,265910_Multiple Login Failures for Single Username_1667901245665_1667901588262,265910_Login Failures Followed By Success to the same Username_1667901446859_1667901738508,265910_Multiple Login Failures for Single Username_1667889161097_1667889574390",,,,,20
33,2227293,securityanalyst1,Amazon AWS WAF,2022-11-02 17:40:20 UTC-05,,Default,False,True,False,0,4002,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,271997_SRA-P_WAF_X-Force Risky IP Scan (Source IP)_1667425543807_1667425543807,,,,,1
34,2227362,securityanalyst1,Amazon AWS WAF,2022-11-03 00:20:17 UTC-05,,Default,False,True,False,0,4002,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,272047_SRA-P_WAF_X-Force Risky IP Scan (Source IP)_1667448691420_1667448691420,,,,,1
35,2233560,securityanalyst1,Microsoft Windows Security Event Log,2022-11-20 14:10:33 UTC-05,"Recon,Intrusion Detection,Authentication",Login,False,False,False,0,"31,163,005",Open,SURA ASSET MANAGEMENT PERU S.A,Medium,Research,277306_Multiple Login Failures From the Same Source with any Username_1668966984799_1668967175995,,,,,1
36,2227366,securityanalyst1,Amazon AWS CloudTrail,2022-11-03 00:20:41 UTC-05,,"OS,SAP",False,False,False,0,"7,023,100,014,015",Open,SURA ASSET MANAGEMENT PERU S.A,Low,Research,272050_AWS Cloud: Multiple Failed API Requests From Same Source IP_1667448902623_1667449041015,,,,,1
37,2231850,securityanalyst1,Microsoft Windows Security Event Log,2022-11-15 18:35:53 UTC-05,"Recon,Authentication",Login,False,False,False,0,"30,053,116",Open,SURA ASSET MANAGEMENT PERU S.A,Medium,Assessment,"275929_Multiple Login Failures for Single Username_1669391975017_1669392000261,275929_Multiple Login Failures for Single Username_1669325566092_1669325618118,275929_Multiple Login Failures for Single Username_1669177251285_1669177262293,275929_Multiple Login Failures for Single Username_1668891607207_1668891618222,275929_Multiple Login Failures for Single Username_1668572477642_1668572491641,275929_Multiple Login Failures for Single Username_1668548509731_1668548739896",,,,,6
38,2227189,securityanalyst1,Microsoft Windows Security Event Log,2022-11-02 11:31:11 UTC-05,Post-Intrusion Activity,"Default,FAM,FW,Login,SAP",False,False,False,"80,443,53,49669,3911,7680,389,3128,135,445,0,88,49679,23116,49672,3268,49668","4,003,400,213,013,400,000,000,000,000,000,000,000,000,000",Open,SURA ASSET MANAGEMENT PERU S.A,High,Assessment,"271917_Possible Local Worm Detected_1667856011819_1667856056850,271917_Possible Local Worm Detected_1667855951772_1667856080884,271917_Possible Local Worm Detected_1667833472714_1667833529504,271917_Possible Local Worm Detected_1667571684327_1667571719361,271917_Possible Local Worm Detected_1667571658324_1667571722367,271917_Possible Local Worm Detected_1667401553995_1667401623042",,,,,6
39,2230781,securityanalyst1,Cisco Adaptive Security Appliance (ASA),2022-11-12 14:49:22 UTC-05,Recon,FW,False,False,False,"254,2171,5549,14399,5423,3369,14202,51983,2233,3366,1089,243,19633,80,36633,1625,4434,30003,14033,30009,6789,8088,128,6001,83,54133,180,1216,5033,1405,3390,1067,1333,8383,1472,7654,2021,1479,201,1543,4525,14906,7777,10004,146,3009,6767,1538,9999,39,14444,1478,43,1900,1210,11233,90,87,2018,14398,213,6533,5003,93,14758,1466,3368,1449,65533,14433,100,164,18433,29733,1090,1495,5540,147,600,11607,20001,13579,9001,1563,46,13333,14321,49,127,51234,1446,1580,1899,1251,1193,9933,1115,10009,2633,14578,17433,9296,1987,6661,2019,30533,1491,14726,1437,84,158,10001,1440,1833,7433,2688,1743,1744",4003,Open,SURA ASSET MANAGEMENT PERU S.A,Low,Assessment,"275282_Host Port Scan Detected by Remote Host_1668355440445_1668355441458,275282_Host Port Scan Detected by Remote Host_1668276900048_1668276903062",,,,,2
40,2231175,securityanalyst1,Amazon AWS WAF,2022-11-14 01:09:21 UTC-05,,Default,False,True,False,0,4002,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,275532_SRA-P_WAF_X-Force Risky IP Scan (Source IP)_1668401026793_1668401026793,,,,,1
41,2232117,securityanalyst1,Microsoft Windows Security Event Log,2022-11-16 13:15:13 UTC-05,"Recon,Intrusion Detection,Authentication",Login,False,False,False,0,"30,053,116",Open,SURA ASSET MANAGEMENT PERU S.A,Medium,Assessment,276134_Multiple Login Failures From the Same Source with any Username_1668617124716_1668617184016,,,,,1
42,2231307,securityanalyst1,Microsoft Windows Security Event Log,2022-11-14 11:49:53 UTC-05,"Recon,Intrusion Detection,Authentication",Login,False,False,False,0,"30,763,005",Open,SURA ASSET MANAGEMENT PERU S.A,Medium,Assessment,"275294_Multiple Login Failures From the Same Source with any Username_1668592322953_1668635794172,275294_Multiple Login Failures From the Same Source with any Username_1668542157419_1668610471699,275294_Multiple Login Failures From the Same Source with any Username_1668574733359_1668610787501,275294_Multiple Login Failures From the Same Source with any Username_1668570780407_1668581441676,275294_Multiple Login Failures From the Same Source with any Username_1668570899478_1668584261817,275294_Multiple Login Failures From the Same Source with any Username_1668501425970_1668559074143,275294_Multiple Login Failures From the Same Source with any Username_1668501532059_1668559831706,275294_Multiple Login Failures From the Same Source with any Username_1668501894311_1668548913013,275294_Multiple Login Failures From the Same Source with any Username_1668493563051_1668547424050,275294_Multiple Login Failures From the Same Source with any Username_1668502432707_1668531584406,275294_Multiple Login Failures From the Same Source with any Username_1668509102382_1668524385506,275294_Multiple Login Failures From the Same Source with any Username_1668493679125_1668499653865,275294_Multiple Login Failures From the Same Source with any Username_1668406857517_1668483049091,275294_Multiple Login Failures From the Same Source with any Username_1668482999918_1668485573702,275294_Multiple Login Failures From the Same Source with any Username_1668396173184_1668472298606,275294_Multiple Login Failures From the Same Source with any Username_1668411065805_1668474526427,275294_Multiple Login Failures From the Same Source with any Username_1668421314124_1668463185319,275294_Multiple Login Failures From the Same Source with any Username_1668396774678_1668439862854,275294_Multiple Login Failures From the Same Source with any Username_1668418972824_1668445185305,275294_Multiple Login Failures From the Same Source with any Username_1668430200056_1668437982599",,,,,20
43,2227260,securityanalyst1,Microsoft Office 365,2022-11-02 14:41:36 UTC-05,"Recon,Authentication,Intrusion Detection","Login,SAP",False,False,False,0,"311,670,023,115",Open,SURA ASSET MANAGEMENT PERU S.A,Medium,Assessment,"271824_Multiple Login Failures for Single Username_1667375788522_1667415444981,271824_Multiple Login Failures for Single Username_1667375853569_1667415529064,271824_Multiple Login Failures for Single Username_1667375989658_1667415714232,271824_Login Failures Followed By Success to the same Username_1667374485623_1667414204983",,,,,4
44,2230056,securityanalyst1,Cisco Adaptive Security Appliance (ASA),2022-11-10 07:56:19 UTC-05,Recon,FW,False,False,False,"30005,8096,8088,8083,5280,8443,89,2086,5000,9110,10243,49153,8021,199,9981,2049,32768,60001,8090,9090,82,7170,30008,87,9002,83,1111,4433,4443,8787,7777,6699,4343,2085,3168,2000,9010,61422,7080,9992,100,23,15672,1723,5672,443,37020,8015,63014,1129,7117,32400,2077,8101,5160,9443,4567,22,9091",4003,Open,SURA ASSET MANAGEMENT PERU S.A,Low,Research,274681_Host Port Scan Detected by Remote Host_1668074332028_1668074378092,,,,,1
45,2227902,securityanalyst1,Microsoft Office 365,2022-11-03 18:48:40 UTC-05,,Login,False,False,False,0,3115,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Assessment,"272549_SRA-P: User Login Success other countries_1667580541119_1667580541119,272549_SRA-P: User Login Success other countries_1667514482383_1667515915573",,,,,2
46,2233067,securityanalyst1,Amazon AWS WAF,2022-11-19 07:00:41 UTC-05,,Default,False,True,False,0,4002,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,276913_SRA-P_WAF_X-Force Risky IP Scan (Source IP)_1668856680853_1668856680853,,,,,1
47,2232699,Admin,Amazon AWS WAF,2022-11-18 06:24:56 UTC-05,,Default,False,False,False,0,4002,Closed,SURA ASSET MANAGEMENT PERU S.A,Informative,Assessment,276625_SRA-P_WAF_X-Force Risky IP Scan (Source IP)_1668768205193_1668768205193,2022-11-18 11:58:41 UTC-05,,NotMalicious,Unknown,1
48,2230116,securityanalyst1,Amazon AWS WAF,2022-11-10 11:16:14 UTC-05,,Default,False,True,False,0,4002,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,274736_SRA-P_WAF_X-Force Risky IP Scan (Source IP)_1668086860844_1668086860844,,,,,1
49,2228792,securityanalyst1,Amazon AWS WAF,2022-11-06 09:49:25 UTC-05,,Default,False,True,False,0,4002,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,273402_SRA-P_WAF_X-Force Risky IP Scan (Source IP)_1667743267948_1667743267948,,,,,1
50,2228666,securityanalyst1,Amazon AWS WAF,2022-11-05 12:39:28 UTC-05,,Default,False,True,False,0,4002,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,273290_SRA-P_WAF_X-Force Risky IP Scan (Source IP)_1667663518950_1667663518950,,,,,1
51,2230335,securityanalyst1,Amazon AWS WAF,2022-11-11 02:36:08 UTC-05,,Default,False,True,False,0,4002,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,274899_SRA-P_WAF_X-Force Risky IP Scan (Source IP)_1668141012046_1668141012046,,,,,1
52,2231547,securityanalyst1,Amazon AWS WAF,2022-11-15 00:50:02 UTC-05,,Default,False,True,False,0,4002,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,275698_SRA-P_WAF_X-Force Risky IP Scan (Source IP)_1668488232614_1668488232614,,,,,1
53,2228558,securityanalyst3,Amazon AWS WAF,2022-11-05 01:19:14 UTC-05,,Default,False,False,False,0,4002,Closed,SURA ASSET MANAGEMENT PERU S.A,Informative,Triage,273185_SRA-P_WAF_Possible_Scan_1667619027241_1667619027241,2022-11-25 10:26:57 UTC-05,,Maintenance,Rule under construction,1
54,2229083,securityanalyst1,Cisco Adaptive Security Appliance (ASA),2022-11-07 18:20:16 UTC-05,Recon,FW,False,True,False,"33926,33935,33934,33941,33985,33976,33906,33911,33962,33983,33990,33901,33921,33968,33931,33908,33960,33902,33977,33986,33954,33974,33973,33978,33939,33981,33927,33937,33982,33943,33930,33929,33961,33963,33923,33903,33966,33909,33944,33958,33932,33914,33957,33938,33924,33900,33965,33953,33928,33917,33956,33947,33952,33972,33915,33975,33955,33988,33922,33987,33916,33946,33950,33989,33910,33920,33967,33970,33907,33980",4003,Open,SURA ASSET MANAGEMENT PERU S.A,Low,Assessment,"273617_Host Port Scan Detected by Remote Host_1667860146924_1667860318089,273617_Host Port Scan Detected by Remote Host_1667860261045_1667860337098",,,,,2
55,2231723,securityanalyst1,Microsoft Office 365,2022-11-15 11:25:17 UTC-05,"Recon,Authentication,Intrusion Detection","Login,SAP",False,False,False,0,"311,670,023,115",Open,SURA ASSET MANAGEMENT PERU S.A,Low,Assessment,"275738_Multiple Login Failures for Single Username_1668581741891_1668599959007,275738_Login Failures Followed By Success to the same Username_1668560119946_1668603524821,275738_Multiple Login Failures for Single Username_1668512760751_1668524324383,275738_Login Failures Followed By Success to the same Username_1668511187901_1668524324383",,,,,4
56,2230145,securityanalyst1,Microsoft Office 365,2022-11-10 12:46:46 UTC-05,,Login,False,False,False,0,3115,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Assessment,"274765_SRA-P: User Login Success other countries_1668352213082_1668352396200,274765_SRA-P: User Login Success other countries_1668267497662_1668269038786,274765_SRA-P: User Login Success other countries_1668229568307_1668230822275,274765_SRA-P: User Login Success other countries_1668171930480_1668176403598,274765_SRA-P: User Login Success other countries_1668121816799_1668125831960,274765_SRA-P: User Login Success other countries_1668092649104_1668092649104",,,,,6
57,2231766,securityanalyst1,Microsoft Office 365,2022-11-15 13:55:34 UTC-05,,Login,False,False,False,0,3115,Open,SURA ASSET MANAGEMENT PERU S.A,Informative,Research,275858_SRA-P: User Login Success other countries_1668532324018_1668532324018,,,,,1
58,2230530,securityanalyst1,Microsoft Windows Security Event Log,2022-11-11 15:56:29 UTC-05,"Recon,Intrusion Detection,Authentication",Login,False,False,False,0,"30,763,005",Open,SURA ASSET MANAGEMENT PERU S.A,High,Assessment,"251893_Multiple Login Failures From the Same Source with any Username_1668178574251_1668253964713,251893_Multiple Login Failures From the Same Source with any Username_1668246659016_1668257344719,251893_Multiple Login Failures From the Same Source with any Username_1668146310266_1668214328239,251893_Multiple Login Failures From the Same Source with any Username_1668117446255_1668182298206",,,,,4
